,x,y,r
1098528,0.02059149563897298,0.20894619251536034,1.4583335
1099522,0.02233533362931993,0.20268369066544453,1.2708335
1093523,0.015919109748936646,0.20389259508566904,1.3333335
1091528,0.014675107056414212,0.20902386510653126,
1086526,0.009764308799870329,0.20624383560335896,1.6458335
1081527,0.004792499128749488,0.2071818741675379,1.5625
1077523,0.0010869388787840175,0.20387896060992325,1.6875
1076530,0.00042259236450270353,0.21016164683079594,1.6666665
1078534,0.0017710496541254728,0.2144852078350496,1.6458335
1083532,0.006958643045032903,0.21238446739135625,1.625
1088533,0.011608400288348279,0.2132733530975944,1.6041665
1086538,0.009472332421503993,0.21812654855849786,1.6041665
1089543,0.012304541483465473,0.22305615628088163,1.6041665
1086547,0.009635029527042255,0.22671913266402188,1.6041665
1084543,0.007377702667220533,0.22282113343740606,1.6041665
1081538,0.004963121034616165,0.2182163375010145,1.625
1076539,0.00012689228477728284,0.21928267189894446,1.625
1079543,0.003111964061508067,0.2232045314581155,1.625
1076546,0.00010292692474781228,0.22583447670060972,1.625
1077552,0.0005408914922973164,0.23114988852765803,1.625
1081549,0.004938296358888428,0.2284330855639737,1.6041665
1081554,0.005233614520525826,0.23382233170540753,1.6041665
1086552,0.00988690450615606,0.23110278847944093,
1087556,0.010322864003742795,0.23579420343821755,1.6041665
1089561,0.012424654722178624,0.23993792876272863,1.6041665
1082560,0.005706524593138044,0.23917246943461803,1.6041665
1077557,0.0006656832275898259,0.23638745590039578,1.625
1077562,0.0008249430703350212,0.24139552869398337,1.6458335
1081567,0.004633430245048304,0.24572637478576784,1.6041665
1076567,0.00021549728122078978,0.24630981195308133,
1077572,0.0011310504179616514,0.2509020905241348,1.6458335
1076577,0.0003499324482382475,0.25555696546983087,1.625
1081579,0.004794408719190033,0.25687271147520635,
1077583,0.0006480195160144581,0.2607826933818369,1.625
1076588,0.0004312810010073791,0.26616513183335005,1.625
1081590,0.00454835799091987,0.2680312122557515,1.6041665
1086588,0.009117912435730399,0.2660866285703374,1.6041665
1089592,0.012232358964811044,0.26931245196186554,1.6041665
1090596,0.013166339649303752,0.2737156810793005,1.6041665
1089601,0.012337768357131651,0.27862747232287355,1.6041665
1084599,0.0072058395275673495,0.2764794695157757,1.6041665
1084594,0.007286615203204448,0.2720114670905957,1.6041665
1077595,0.0009145983415208062,0.2721668122729378,1.6458335
1077600,0.001415197475521579,0.27733239763401746,
1077605,0.0008466169218357073,0.28237319125980453,1.6458335
1076612,0.0,0.28842501754436217,1.625
1079615,0.0028289627582124234,0.29152719495486207,1.625
1076621,0.0003690283526441327,0.29712038535535096,1.625
1081619,0.0044636676548798935,0.29594566260401295,1.625
1084621,0.0078052599668686105,0.2978675126152318,1.5625
1089623,0.012465710916651213,0.29949816918016514,1.3125
1094621,0.01699669163456173,0.2977508843790728,1.6041665
1099620,0.02160749323288886,0.29686519723682264,
1095616,0.018351259613594375,0.29249535730824133,1.6041665
1099613,0.022295041271023382,0.28980197547131087,1.6041665
1104610,0.02651628641947019,0.28737015978498015,1.6041665
1099607,0.022384314624121146,0.28428984718502504,1.6041665
1103604,0.025783767526459767,0.2811567821491485,1.6041665
1103599,0.025566647093364668,0.2764657204646034,1.6041665
1100596,0.022534694871317654,0.2739004339544277,1.6041665
1098602,0.021270259561080605,0.2793894561963823,1.6041665
1095610,0.018070167900739495,0.28663940726312725,1.6041665
1090613,0.013829826847886799,0.28937947858633023,1.6041665
1089618,0.012621628976125347,0.29423351426702765,1.6041665
1085615,0.008282848536060402,0.29136698031689656,1.6041665
1081609,0.004546830318567565,0.28592526817810754,1.6041665
1084604,0.007275635058170988,0.2812415679647107,1.6041665
1086609,0.009229718956026898,0.2863476504876617,1.6041665
1090607,0.012992280480644007,0.2839818302469578,1.6041665
1094605,0.016961268731888773,0.2816771169003528,1.6041665
1094599,0.0174394301782126,0.2768222028080527,1.6041665
1095595,0.01855873661496453,0.2725114551556555,
1094591,0.017153373530212127,0.26861138402341156,1.6041665
